A0220159ZRNBTRKLG08H|8862930003,B00006IE7J,B00005249G|5.0,5.0,5.0
A0220159ZRNBTRKLG08H|B00006IE7J,B00005249G,B00006IEJC|5.0,5.0,5.0
A0220159ZRNBTRKLG08H|B00006IE7J,B00005249G,B00006IEJC|5.0,5.0,5.0
A03492194F0T997EZQ04|B00005249G,B00006JNNE,B00006IE7J|5.0,5.0,5.0
A03492194F0T997EZQ04|B00005249G,B00006JNNE,B00006IE7J|5.0,5.0,5.0
A05012776MTIS8L40R3I|B0000AQOCO,B00006IBK2,B0002ABCIC|5.0,5.0,5.0
A05012776MTIS8L40R3I|B0000AQOCO,B00006IBK2,B0002ABCIC|5.0,5.0,5.0
A0726857GE7DA02YSIY3|B00006IBVZ,B00006IF63,B0000C120T|5.0,4.0,5.0
A0726857GE7DA02YSIY3|B00006IBVZ,B00006IF63,B0000C120T|5.0,4.0,5.0
A0759107CA9MPWVRF6VN|B00006IDMK,B00006IF8I,B00006IFB5|5.0,5.0,5.0
A0759107CA9MPWVRF6VN|B00006IDMK,B00006IF8I,B00006IFB5|5.0,5.0,5.0
A1007NRYNXDJKL|B00006IC80,B00006IEO0,B00006IF67|5.0,5.0,5.0
A1007NRYNXDJKL|B00006IEO0,B00006IF67,B0002LCRMG|5.0,5.0,5.0
A100BWOBDFZEVJ|1432121480,B00004Z593,1608176428|5.0,5.0,5.0
A100BWOBDFZEVJ|1432121480,B00004Z593,1608176428|5.0,5.0,5.0
A100DO844MBA4W|B00006IEEV,B00006IFAY,B00004Z4A8|1.0,5.0,5.0
A100DO844MBA4W|B00006IEEV,B00006IFAY,B00004Z4A8|1.0,5.0,5.0
A100S1JQ5XK960|B00006IEJ0,B00008XPPY,B0002LD14O|3.0,5.0,1.0
A100S1JQ5XK960|B00006IEJ0,B00008XPPY,B0002LD14O|3.0,5.0,1.0
A100UD67AHFODS|B00006JNNE,B00006IF88,B00006IEJC|5.0,3.0,5.0
A100UD67AHFODS|B00006JNNE,B00006IF88,B00006IEJC|5.0,3.0,5.0
A100WFKYVRPVX7|B0000AQOA0,1441302875,1593593279|5.0,5.0,5.0
A100WFKYVRPVX7|1441302875,1593593279,B00006IFGQ|5.0,5.0,4.0
A100WFKYVRPVX7|1593593279,B00006IFGQ,1531901271|5.0,4.0,5.0
A100WFKYVRPVX7|B00006IFGQ,1531901271,1531901328|4.0,5.0,5.0
A100WFKYVRPVX7|B00006IFGQ,1531901271,1531901328|4.0,5.0,5.0
A100WO06OQR8BQ|B000034DLQ,B00006I9S3,B00006I58N|1.0,3.0,5.0
A100WO06OQR8BQ|B00006I9S3,B00006I58N,B00006IDS8|3.0,5.0,3.0
A100WO06OQR8BQ|B00006I9S3,B00006I58N,B00006IDS8|3.0,5.0,3.0
A1016MYYF5QSTY|B00006JNIK,B00021PGFG,B0002HT8BI|5.0,5.0,5.0
A101RMTZ93J1KH|B00006IFLD,B00006JNJD,B00000JBNX|5.0,5.0,3.0
A101RMTZ93J1KH|B00006JNJD,B00000JBNX,B000050FZP|5.0,3.0,5.0
A101RMTZ93J1KH|B00000JBNX,B000050FZP,0486413012|3.0,5.0,5.0
